Scope	Category	Source	Domain	Date
Global	Science and Technology	http://www.theaustralian.com.au/news/health-science/fossils-found-in-gabon-rewrite-timeline-of-life-on-earth/story-e6frg8y6-1225886648406; http://news.bbc.co.uk/2/hi/science_and_environment/10471599.stm	www.theaustralian.com.au; www.news.bbc.co.uk	2010-07-01
Global	Science and Technology	http://news.nationalgeographic.com/news/2010/06/100630-science-space-planets-first-picture-confirmed/	www.news.nationalgeographic.com	2010-07-01
Global	Politics	http://www.ekantipur.com/2010/08/02/top-story/third-bid-to-pick-new-pm-fails-to-make-headway/319701/; https://www.bbc.co.uk/news/world-south-asia-10847485; http://www.indianexpress.com/news/Another-day-of-voting--but-Nepal-fails-to-elect-PM/655239	www.ekantipur.com; www.bbc.co.uk; www.indianexpress.com	2010-08-02
Global	Politics	http://www.theaustralian.com.au/news/world/greek-truckers-strike-ends/story-e6frg6so-1225900215006	www.theaustralian.com.au	2010-08-02
Global	Law and Crime	http://www.guardian.co.uk/world/2010/aug/08/drugs-legalise-mexico-california	www.guardian.co.uk	2010-08-08
Global	Law and Crime	https://www.nytimes.com/2010/08/08/us/08kagan.html?src=me	www.nytimes.com	2010-08-08
Global	Sport	http://www.rte.ie/sport/rugby/2010/0811/harlequins.html; http://www.skysports.com/story/0,19528,12332_6306409,00.html; https://www.bbc.co.uk/news/uk-10932574	www.rte.ie; www.skysports.com; www.bbc.co.uk	2010-08-11
Global	International Relations	http://www.google.com/hostednews/afp/article/ALeqM5joABEP6VHEiQxOufLTA7pPwTn2hQ	www.google.com	2010-08-12
Global	International Relations	https://www.bbc.co.uk/news/world-us-canada-10969738; http://in.reuters.com/article/idINIndia-50843720100813; http://www.asianage.com/international/obama-sign-border-security-bill-today-652	www.bbc.co.uk; www.in.reuters.com; www.asianage.com	2010-08-13
Global	Politics	https://web.archive.org/web/20121008121922/http://www.timeslive.co.za/local/article603271.ece/Democratic-Alliance-to-absorb-Independent-Democrats; https://www.bbc.co.uk/news/world-africa-10981635; https://www.bloomberg.com/news/2010-08-15/south-african-opposition-parties-merge-in-bid-to-unseat-anc-in-elections.html	www.web.archive.org; www.bbc.co.uk; www.bloomberg.com	2010-08-15
Global	Law and Crime	https://www.bbc.co.uk/news/world-latin-america-11032252	www.bbc.co.uk	2010-08-19
Global	Sport	https://www.bbc.co.uk/news/world-south-asia-11024645	www.bbc.co.uk	2010-08-19
Global	Business and Economy	https://www.bbc.co.uk/news/business-11041595	www.bbc.co.uk	2010-08-20
Global	Politics	https://www.bbc.co.uk/news/world-africa-11035154; http://af.reuters.com/article/topNews/idAFJOE67J03420100820	www.bbc.co.uk; www.af.reuters.com	2010-08-20
Global	Environment	https://www.msnbc.msn.com/id/38849585; http://www.cnn.com/2010/US/08/27/hurricanes/index.html?eref=rss_topstories; https://www.cbc.ca/news/world/hurricane-danielle-becomes-category-4-storm-1.949922	www.msnbc.msn.com; www.cnn.com; www.cbc.ca	2010-08-27
Global	Business and Economy	http://www.abc.net.au/rural/news/content/201009/s2999289.htm; https://www.bbc.co.uk/news/world-europe-11150057; http://english.people.com.cn/90001/90778/90858/90865/7124752.html	www.abc.net.au; www.bbc.co.uk; www.english.people.com.cn	2010-09-01
Global	Business and Economy	https://www.bbc.co.uk/news/business-11216009; http://english.aljazeera.net/news/africa/2010/09/201097131921161458.html	www.bbc.co.uk; www.english.aljazeera.net	2010-09-07
Global	International Relations	http://news.xinhuanet.com/english2010/china/2010-09/08/c_13484605.htm	www.news.xinhuanet.com	2010-09-08
Global	International Relations	https://www.reuters.com/article/idUSTRE68J13420100920	www.reuters.com	2010-09-20
Global	Science and Technology	http://www.upi.com/Science_News/2010/09/17/Jupiter-to-provide-cosmic-show/UPI-46551284769014/	www.upi.com	2010-09-20
Global	Law and Crime	http://www.google.com/hostednews/ap/article/ALeqM5jZE68q9X88dHYq8WimifrCvtjYXgD9ICDHA80	www.google.com	2010-09-21
Global	Sport	https://www.bbc.co.uk/news/world-south-asia-11379020	www.bbc.co.uk	2010-09-21
Global	Sport	http://minnesota.sbnation.com/2010/9/21/1703428/minnesota-twins-clinch-al-central	www.minnesota.sbnation.com	2010-09-21
Global	Art and Culture	https://www.bbc.co.uk/news/uk-scotland-tayside-central-11406387	www.bbc.co.uk	2010-09-24
Global	Conflicts and Attacks	http://news.xinhuanet.com/english2010/world/2010-09/25/c_13529219.htm	www.news.xinhuanet.com	2010-09-25
Global	Conflicts and Attacks	http://www.thejakartapost.com/news/2010/09/27/suspected-us-missile-strike-kills-4-nw-pakistan.html	www.thejakartapost.com	2010-09-27
Global	Environment	http://latimesblogs.latimes.com/lanow/2010/09/at-113-degrees-downtown-la-hits-all-time-record-high-temperature.html; http://content.usatoday.com/communities/ondeadline/post/2010/09/la-sets-record-high-temperature-of-113/1	www.latimesblogs.latimes.com; www.content.usatoday.com	2010-09-27
Global	Conflicts and Attacks	https://www.bbc.co.uk/news/world-africa-11449082	www.bbc.co.uk	2010-10-01
Global	Art and Culture	https://www.bbc.co.uk/news/science-environment-11479563	www.bbc.co.uk	2010-10-05
Global	Business and Economy	https://web.archive.org/web/20101013021557/http://blogs.reuters.com/environment/2010/09/friendly-push-for-facebook-to-dump-coal/	www.web.archive.org	2010-10-12
Global	Environment	http://english.aljazeera.net/news/americas/2010/10/2010101704539981971.html	www.english.aljazeera.net	2010-10-17
Global	Environment	https://www.reuters.com/article/idUSTRE69D4MT20101014	www.reuters.com	2010-10-17
Global	Disaster and Accidents	https://news.yahoo.com/s/afp/20101019/sc_afp/philippinestyphoon	www.news.yahoo.com	2010-10-19
Global	International Relations	https://www.bbc.co.uk/news/world-middle-east-11596718; http://www.jpost.com/Israel/Article.aspx?id=192225	www.bbc.co.uk; www.jpost.com	2010-10-21
Global	Disaster and Accidents	https://www.bbc.co.uk/news/world-europe-11621977; http://www.news.com.au/national/aussie-swims-for-his-life-as-3m-tsunami-hits-mentawai-islands-after-indonesian-earthquake/story-e6frfkvr-1225943524571?referrer=email&source=eDM_newspulse&emcmp=Newspulse&emchn=Newsletter&emlist=Member; http://english.sina.com/world/2010/1025/345030.html	www.bbc.co.uk; www.news.com.au; www.english.sina.com	2010-10-25
Global	Art and Culture	http://www.guardian.co.uk/uk/2010/oct/25/exmoor-emperor-stag-shot-dead	www.guardian.co.uk	2010-10-26
Global	Conflicts and Attacks	http://hosted.ap.org/dynamic/stories/M/ML_IRAQ?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2010-10-29-15-55-48; http://news.xinhuanet.com/english2010/world/2010-10/30/c_13582533.htm	www.hosted.ap.org; www.news.xinhuanet.com	2010-10-29
Global	Art and Culture	https://www.bbc.co.uk/news/world-latin-america-11659582	www.bbc.co.uk	2010-10-30
Global	Sport	http://www.theaustralian.com.au/news/sport/surfing-champion-andy-irons-dies/story-e6frg7mf-1225947177586	www.theaustralian.com.au	2010-11-02
Global	Law and Crime	https://www.reuters.com/article/idUSTRE6A27B120101104	www.reuters.com	2010-11-03
Global	Science and Technology	https://www.bbc.co.uk/news/health-11764730	www.bbc.co.uk	2010-11-17
Global	Politics	https://www.bloomberg.com/news/2010-11-17/insurers-gave-u-s-chamber-86-million-used-to-oppose-obama-s-health-law.html; http://www.democracynow.org/2010/11/18/headlines	www.bloomberg.com; www.democracynow.org	2010-11-18
Global	Science and Technology	https://web.archive.org/web/20101202152121/http://www.npr.org/2010/11/25/131592406/100-million-year-old-crocodile-species-discovered; https://doi.org/10.1144%2FSP315.13	www.web.archive.org; www.doi.org	2010-11-25
Global	Science and Technology	https://www.reuters.com/article/idUSTRE6AP00D20101126	www.reuters.com	2010-11-25
Global	Politics	http://www.channelnewsasia.com/stories/afp_world/view/1095943/1/.html; http://www.iol.co.za/news/africa/gbagbo-decrees-election-curfew-1.878269	www.channelnewsasia.com; www.iol.co.za	2010-11-27
Global	Disaster and Accidents	https://web.archive.org/web/20101203093111/http://www.irishtimes.com/newspaper/frontpage/2010/1130/1224284435846.html?via=mr; http://www.rte.ie/news/2010/1130/weather_live_updates.html	www.web.archive.org; www.rte.ie	2010-11-30
Global	Conflicts and Attacks	http://english.aljazeera.net/news/americas/2010/12/20101243455185989.html	www.english.aljazeera.net	2010-12-04
Global	Sport	http://news.bbc.co.uk/sport2/hi/football/europe/9276343.stm; http://www.guardian.co.uk/football/2010/dec/10/barcelona-25m-shirt-sponsorship-qatar-foundation; http://english.aljazeera.net/news/europe/2010/12/20101210152528690559.html	www.news.bbc.co.uk; www.guardian.co.uk; www.english.aljazeera.net	2010-12-10
Global	Law and Crime	https://www.bbc.co.uk/news/world-us-canada-12014323; http://www.cnn.com/2010/CRIME/12/16/oklahoma.execution/; http://www.dailymail.co.uk/news/article-1339181/Oklahoma-uses-animal-euthanizing-drug-execute-inmate.html	www.bbc.co.uk; www.cnn.com; www.dailymail.co.uk	2010-12-16
Global	Politics	https://www.bbc.co.uk/news/uk-12022013	www.bbc.co.uk	2010-12-17
Global	Science and Technology	https://web.archive.org/web/20110101024932/http://www.israel21c.org/201012208648/briefs/1200-new-sea-creatures-revealed; http://www.jpost.com/Sci-Tech/Article.aspx?id=200048	www.web.archive.org; www.jpost.com	2010-12-20
Global	Disaster and Accidents	http://en.rian.ru/russia/20110101/162019000.html; http://www.google.com/hostednews/ap/article/ALeqM5iBFp8XlSz30IRu6zZe0h4LwDJ7Eg?docId=b46c5d1fa8214d0dafcfb5a242430f13	www.en.rian.ru; www.google.com	2011-01-01
Global	Science and Technology	http://content.usatoday.com/communities/ondeadline/post/2011/01/disease-suspected-in-mass-kill-of-100k-fish-in-arkansas-river/1	www.content.usatoday.com	2011-01-03
Global	Politics	http://english.aljazeera.net/news/africa/2011/01/201115101926215588.html; http://www.google.com/hostednews/afp/article/ALeqM5gvlq0htygTTMcYuT3WFYVP70ooKw?docId=CNG.e2087db1933744ecf1316369eb2684df.481; http://af.reuters.com/article/topNews/idAFJOE70408420110105	www.english.aljazeera.net; www.google.com; www.af.reuters.com	2011-01-05
Global	Sport	http://www.the-afc.com	www.the-afc.com	2011-01-06
Global	Business and Economy	http://english.aljazeera.net/news/africa/2011/01/20111820132025240.html	www.english.aljazeera.net	2011-01-09
Global	Sport	http://edition.cnn.com/2011/SPORT/football/01/10/FIFA.World.Footballer.Year/	www.edition.cnn.com	2011-01-10
Global	Conflicts and Attacks	http://abcnews.go.com/International/wireStory?id=12593832	www.abcnews.go.com	2011-01-12
Global	Health	https://www.reuters.com/article/idUSLDE70A1KP20110112	www.reuters.com	2011-01-12
Global	Health	https://www.newscientist.com/article/dn19971-prion-disease-can-spread-through-air.html	www.newscientist.com	2011-01-13
Global	Disaster and Accidents	https://www.bbc.co.uk/news/world-latin-america-12187985	www.bbc.co.uk	2011-01-14
Global	Business and Economy	http://www.marketwatch.com/story/delta-fuel-costs-may-rise-by-1-billion-in-2011-2011-01-18?reflink=MW_news_stmp	www.marketwatch.com	2011-01-18
Global	Health	http://www.rnzi.com/pages/news.php?op=read&id=58309	www.rnzi.com	2011-01-19
Global	Disaster and Accidents	http://www.smh.com.au/national/people-smuggling-tragedy-report-praises-bravery-of-rescuers-20110124-1a2ex.html	www.smh.com.au	2011-01-24
Global	Art and Culture	https://www.bbc.co.uk/news/entertainment-arts-12277413	www.bbc.co.uk	2011-01-25
Global	Art and Culture	http://news.bbc.co.uk/sport1/hi/football/9376139.stm	www.news.bbc.co.uk	2011-01-26
Global	International Relations	http://www.israeltoday.co.il/NewsItem/tabid/178/nid/22629/Default.aspx; http://www.belfasttelegraph.co.uk/news/local-national/republic-of-ireland/republic-of-irelands-palestine-upgrade-strains-israeli-relations-15064227.html	www.israeltoday.co.il; www.belfasttelegraph.co.uk	2011-01-26
Global	Sport	http://english.aljazeera.net/sport/football/2011/01/201112921940597529.html	www.english.aljazeera.net	2011-01-30
Global	Science and Technology	https://www.reuters.com/article/2011/02/04/us-arctic-fish-idUSTRE71366L20110204	www.reuters.com	2011-02-04
Global	Art and Culture	http://www.sfgate.com/cgi-bin/article.cgi?f=%2Fn%2Fa%2F2011%2F02%2F06%2Finternational%2Fi113127S56.DTL	www.sfgate.com	2011-02-06
Global	Science and Technology	http://www.smh.com.au/technology/technology-news/aussie-desktop-archaeologists-major-saudi-sighting-20110207-1aizo.html	www.smh.com.au	2011-02-07
Global	Politics	http://www.abc.net.au/news/stories/2011/02/09/3133668.htm?section=justin	www.abc.net.au	2011-02-08
Global	Politics	http://news.sky.com/skynews/Article/201102115925669	www.news.sky.com	2011-02-08
Global	Disaster and Accidents	http://www.ctvbc.ctv.ca/servlet/an/local/CTVNews/20110209/bc_plane_crash_110209/20110209?hub=BritishColumbiaHome	www.ctvbc.ctv.ca	2011-02-09
Global	International Relations	https://www.bbc.co.uk/news/world-asia-pacific-12401126	www.bbc.co.uk	2011-02-09
Global	Politics	http://www.irna.ir	www.irna.ir	2011-02-11
Global	Disaster and Accidents	https://web.archive.org/web/20110219041247/http://www.oilspillcommission.gov/chief-counsels-report	www.web.archive.org	2011-02-17
Global	Business and Economy	http://www.news.com.au/business/breaking-news/oil-hits-two-year-high-as-libya-teeters-on-edge/story-e6frfkur-1226010834420	www.news.com.au	2011-02-23
Global	Politics	http://www.google.com/hostednews/afp/article/ALeqM5iUyF0OYJPntwAMRcXBsLkD1j-kjQ?docId=CNG.6d1f4ccfc419a26d8e1da17eabc8d972.5e1	www.google.com	2011-02-27
Global	Conflicts and Attacks	http://english.aljazeera.net/news/middleeast/2011/02/201122814254293647.html	www.english.aljazeera.net	2011-02-28
Global	Law and Crime	http://www.politico.com/news/stories/0311/50683.html; https://www.washingtonpost.com/wp-dyn/content/article/2011/03/04/AR2011030403727.html?wpisrc=nl_natlalert	www.politico.com; www.washingtonpost.com	2011-03-04
Global	International Relations	https://web.archive.org/web/20110306033316/http://travel.state.gov/travel/cis_pa_tw/tw/tw_936.html; https://web.archive.org/web/20110312220217/http://www.voanews.com/english/news/usa/US-Warns-Citizens-Against-Travel-to-Yemen--117484408.html	www.web.archive.org; www.web.archive.org	2011-03-06
Global	Science and Technology	http://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm246489.htm	www.fda.gov	2011-03-09
Global	Business and Economy	http://english.yonhapnews.co.kr/business/2011/03/10/6/0503000000AEN20110310006200320F.HTML; https://web.archive.org/web/20110314235007/http://www.foxbusiness.com/2011/03/09/south-korea-lifts-policy-rate-quarter-point/	www.english.yonhapnews.co.kr; www.web.archive.org	2011-03-10
Global	Business and Economy	https://www.bbc.co.uk/news/business-12777469	www.bbc.co.uk	2011-03-17
Global	Sport	http://boxrec.com/media/index.php?title=Fight:1569182	www.boxrec.com	2011-03-19
Global	Art and Culture	https://www.bbc.co.uk/news/business-12827031	www.bbc.co.uk	2011-03-22
Global	Disaster and Accidents	http://english.kyodonews.jp/news/2011/03/80051.html	www.english.kyodonews.jp	2011-03-22
Global	Science and Technology	http://www.thehindu.com/sci-tech/science/article1565424.ece	www.thehindu.com	2011-03-24
Global	Business and Economy	http://online.wsj.com/article/SB10001424052748703806304576234074125166728.html?mod=googlenews_wsj	www.online.wsj.com	2011-04-01
Global	Law and Crime	https://www.nytimes.com/2011/04/01/us/01driving.html	www.nytimes.com	2011-04-01
Global	Law and Crime	https://www.bbc.co.uk/news/world-asia-pacific-12947213; http://news.xinhuanet.com/english2010/china/2011-04/02/c_13810616.htm	www.bbc.co.uk; www.news.xinhuanet.com	2011-04-02
Global	Science and Technology	https://www.independent.co.uk/environment/climate-change/ozone-layer-damaged-by-unusually-harsh-winter-2263653.html	www.independent.co.uk	2011-04-05
Global	Sport	http://online.wsj.com/article/SB10001424052748703280904576246640754493456.html	www.online.wsj.com	2011-04-06
Global	Conflicts and Attacks	http://english.aljazeera.net/news/middleeast/2011/04/20114711251531744.html	www.english.aljazeera.net	2011-04-07
Global	Politics	https://www.bbc.co.uk/news/world-us-canada-13057442	www.bbc.co.uk	2011-04-12
Global	International Relations	http://www.google.com/hostednews/afp/article/ALeqM5jguDQZfg1sqb9-EFiSaBcw8rnN1A?docId=CNG.339fc2df9b43da9680cd9933ecbd37aa.4f1	www.google.com	2011-04-13
Global	Conflicts and Attacks	https://web.archive.org/web/20110420134255/http://english.alarabiya.net/articles/2011/04/17/145762.html	www.web.archive.org	2011-04-17
Global	International Relations	http://www.guardian.co.uk/politics/2011/apr/19/gordon-brown-not-most-appropriate-imf-cameron	www.guardian.co.uk	2011-04-19
Global	Politics	https://www.bbc.co.uk/news/world-us-canada-13203865	www.bbc.co.uk	2011-04-26
Global	Art and Culture	https://www.bbc.co.uk/news/world-europe-13240878	www.bbc.co.uk	2011-04-29
Global	Conflicts and Attacks	http://www.thehindu.com/news/international/article1981333.ece	www.thehindu.com	2011-04-30
Global	Sport	https://web.archive.org/web/20110505072610/http://www.suntimes.com/sports/5167811-419/derrick-rose-named-nba-mvp.html	www.web.archive.org	2011-05-03
Global	Disaster and Accidents	https://www.msnbc.msn.com/id/42909102; http://www.cnn.com/2011/WORLD/asiapcf/05/05/japan.nuclear.reactors/index.html	www.msnbc.msn.com; www.cnn.com	2011-05-05
Global	Politics	https://www.bbc.co.uk/news/uk-scotland-scotland-politics-13321726	www.bbc.co.uk	2011-05-07
Global	Business and Economy	https://web.archive.org/web/20110509152124/http://www.straitstimes.com/BreakingNews/Asia/Story/STIStory_666297.html	www.web.archive.org	2011-05-08
Global	Disaster and Accidents	http://www.cbsnews.com/8301-504943_162-20061179-10391715.html	www.cbsnews.com	2011-05-09
Global	Sport	http://news.bbc.co.uk/sport1/hi/football/9481461.stm	www.news.bbc.co.uk	2011-05-10
Global	Law and Crime	http://www.guardian.co.uk/uk/2011/may/12/boy-dies-south-london-stabbing	www.guardian.co.uk	2011-05-12
Global	Art and Culture	http://www.google.com/hostednews/afp/article/ALeqM5ita7FypklXPtXpN51rtSiieExpZw?docId=CNG.e7fe95c1c0495a5807bbccd136ded795.2a1	www.google.com	2011-05-14
Global	Business and Economy	https://www.bbc.co.uk/news/business-13399360	www.bbc.co.uk	2011-05-14
Global	Disaster and Accidents	https://web.archive.org/web/20110517005747/http://www.wwltv.com/news/Spillway-to-be--121832944.html	www.web.archive.org	2011-05-15
Global	Politics	https://www.bbc.co.uk/news/world-latin-america-13582707	www.bbc.co.uk	2011-05-28
Global	International Relations	http://www.spiegel.de/international/world/0,1518,765823,00.html; http://www.cnn.com/2011/WORLD/meast/05/31/iran.germany.merkel.flight/index.html	www.spiegel.de; www.cnn.com	2011-05-31
Global	Sport	http://www.nbcdfw.com/news/sports/The-Mavs-Comeback-Kings-Again-123071958.html	www.nbcdfw.com	2011-06-02
Global	Science and Technology	http://af.reuters.com/article/topNews/idAFJOE7580IP20110609	www.af.reuters.com	2011-06-09
Global	Disaster and Accidents	http://edition.cnn.com/2011/WORLD/asiapcf/06/12/australia.flights.canceled/; https://web.archive.org/web/20110615055358/http://www.ft.com/cms/s/0/1110fbee-94f0-11e0-a648-00144feab49a.html	www.edition.cnn.com; www.web.archive.org	2011-06-12
Global	Disaster and Accidents	https://web.archive.org/web/20111003225653/http://lincolntribune.com/?p=13876; https://web.archive.org/web/20110614190828/http://earthquake-report.com/2011/06/12/unusual-series-of-moderate-volcanic-earthquakes-in-eritrea-and-ethiopia/	www.web.archive.org; www.web.archive.org	2011-06-12
Global	International Relations	http://www.liberianobserver.com/content/liberia-breaks-ties-libya	www.liberianobserver.com	2011-06-15
Global	Politics	http://www.guardian.co.uk/commentisfree/2011/jun/18/saudi-arabia-women-drivers-protest; https://web.archive.org/web/20110620163933/http://gulfnews.com/opinions/columnists/saudi-women-do-want-to-drive-1.823252; http://news.sky.com/skynews/Home/Video-Women-In-Saudi-Arabia-Are-Challenging-The-Male-Only-Driving-Rules-In-The-Kingdom/Article/201106316014003?lpos=Home_Third_Home_Page_Article_Teaser_Region__4&lid=ARTICLE_16014003_Video%3A_Women_In_Saudi_Arabia_Are_Challenging_The_Male-Only_Driving_Rules_In_The_Kingdom; https://www.nytimes.com/2011/06/18/world/middleeast/18saudi.html; https://www.reuters.com/article/2011/06/17/us-saudi-women-driving-idUSTRE75G65920110617	www.guardian.co.uk; www.web.archive.org; www.news.sky.com; www.nytimes.com; www.reuters.com	2011-06-18
Global	Business and Economy	http://www.independent.ie/business/irish/imf-urges-eu-to-stump-up-extra-cash-for-greece-2801089.html	www.independent.ie	2011-06-21
Global	Conflicts and Attacks	http://www.cnn.com/2011/WORLD/meast/06/26/syria.unrest/index.html?hpt=wo_c1	www.cnn.com	2011-06-26
Global	International Relations	http://www.jpost.com/DiplomacyAndPolitics/Article.aspx?id=227367	www.jpost.com	2011-06-30
Global	Law and Crime	http://english.kyodonews.jp/news/2011/07/100379.html	www.english.kyodonews.jp	2011-07-01
Global	Conflicts and Attacks	https://www.bbc.co.uk/news/world-south-asia-14022616	www.bbc.co.uk	2011-07-05
Global	Business and Economy	http://www.rte.ie/news/2011/0705/imf.html; http://www.irishtimes.com/newspaper/breaking/2011/0705/breaking18.html; https://www.bbc.co.uk/news/business-14024735	www.rte.ie; www.irishtimes.com; www.bbc.co.uk	2011-07-05
Global	Science and Technology	https://www.reuters.com/article/2011/07/08/us-space-shuttle-idUSTRE7634ZA20110708?feedType=RSS&feedName=topNews; http://www.nasa.gov/mission_pages/shuttle/main/index.html	www.reuters.com; www.nasa.gov	2011-07-08
Global	Science and Technology	https://www.washingtonpost.com/national/two-studies-show-that-drugs-used-to-treat-aids-can-be-used-to-prevent-hiv-infection-too/2011/07/12/gIQAN51zBI_story.html?hpid=z4&wpisrc=al_national	www.washingtonpost.com	2011-07-13
Global	Politics	http://news.sky.com/skynews/Home/UK-News/Rebekah-Brooks-Has-Been-Arrested-By-Police-Officers-Investigating-Phone-Hacking/Article/201107316032015?lpos=UK_News_Top_Stories_Header_0&lid=ARTICLE_16032015_Rebekah_Brooks_Has_Been_Arrested_By_Police_Officers_Investigating_Phone_Hacking; http://www.dailymail.co.uk/news/article-2015677/Rebekah-Brooks-arrested-phone-hacking-scandal-News-International.html; https://www.bbc.co.uk/news/uk-14178051	www.news.sky.com; www.dailymail.co.uk; www.bbc.co.uk	2011-07-17
Global	Sport	https://web.archive.org/web/20110719045446/http://www.straitstimes.com/BreakingNews/Sport/Story/STIStory_692180.html	www.web.archive.org	2011-07-19
Global	Disaster and Accidents	http://www.iol.co.za/news/world/nepal-rivers-rising-1.1103922	www.iol.co.za	2011-07-22
